"Ref","Ref Eleitor","Data Cadastro","Data Atualização","Data Solicitação","Descrição","Status","Categoria","Origem","Escritório","Secretaria"
"41076","208484","2025-02-18 10:50:56","2025-05-05 09:49:44","2025-02-17","  A moradora está solicitando- Faixa na rua 
_Quebra mola
Rua Pastor Luterking N°240
Bairro São Cristovão","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"40040","206435","2025-01-31 08:33:06","2025-07-25 08:26:03","2025-01-17","Ressonância braço e consulta com ortopedista.","Concluído","Atendimento médico em ubs clinico geral","WhatsApp","Principal","Secretaria de Saúde"
"40167","206651","2025-02-03 11:04:17","2025-02-11 15:08:25","2025-01-20","-Capina e limpeza na pracinha.
-Podas de árvores da cidade.
-Limpeza das vias.(mato alto)
","Concluído","Limpeza","WhatsApp","Principal","Secretaria do Meio Ambiente"
"40170","206654","2025-02-03 11:14:36","2025-04-24 09:49:28","2025-01-20","Poda de àrvore próximo ao escadão.
Bairro São Cristovão","aguardando execuçao","Poda de Árvore","WhatsApp","Principal","Secretaria do Meio Ambiente"
"40173","206659","2025-02-03 11:28:49","2025-04-04 10:52:32","2025-01-02","Caminhão de terra para aterrar","Concluído","Solicitação de caminhão de terra","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40179","206662","2025-02-03 12:01:45","2025-04-04 10:34:16","2025-01-20","-Passar máquina dentro do lote no sítio dele.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40181","206665","2025-02-03 12:12:57","2025-04-04 10:29:54","2025-01-31","-Rede de esgoto entupida,estão interligando novas redes nela.
Loteamento Recreio (estrada do Rodolfo)
_Solicitou o calçamento ou asfaltamento estrada de difícil acesso.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40185","206671","2025-02-03 12:21:10","2025-02-06 07:59:23","2025-02-02","-Pedir pra lavar a rua,muita poeira e entulho.
-Rua- 7 de setembro bairro Gaspar (final da rua)","Concluído","Outros","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40187","206674","2025-02-03 12:31:49","2025-04-04 10:28:12","2025-01-31","-Colocar uma placa de proibido jogar lixo.
R. Padre Arnaldo n150
Bairro São Francisco","aguardando execuçao","Placas, Lombadas e Sinais","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40188","206678","2025-02-03 12:40:41","2025-02-03 12:40:41","2025-01-15","Rede de esgoto - Rua Gaspar Zém
Drenagem - Rua Dom Pedro Primeiro, 303","Concluído","Saneamento, Água e Esgoto","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40189","206678","2025-02-03 12:50:03","2025-04-04 10:25:35","2025-01-14","Rede de esgoto - Júlio César Pereira, 731 (Fazendinha) - Precisando de Asfalto","Concluído","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"40200","206651","2025-02-03 13:15:09","2025-02-05 16:09:00","2025-01-24","Visita ETE
","Concluído","Saneamento, Água e Esgoto","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40203","206693","2025-02-03 13:26:20","2025-02-05 16:27:53","2025-01-20","Caminhão Pipa - Rua 7 de Setembro","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40204","206700","2025-02-03 13:32:38","2025-04-04 10:19:14","2025-01-15","Cata Treco na 2 ruas

Bairro União","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40205","206704","2025-02-03 13:42:30","2025-04-04 10:59:08","2025-01-02","Cata Treco
Rua Vinícius de Moraes, 16 - Colety","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40206","206706","2025-02-03 13:44:55","2025-04-04 11:08:39","2025-01-02","Capina

Vila Santa Rita","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40207","206708","2025-02-03 13:47:42","2025-04-04 11:03:52","2025-01-02","Capina Rua São João Batista, Gaspar
Surgindo Cobras no local","Concluído","Limpeza","WhatsApp","Principal","Secretaria de Serviços Urbanos"
"40208","206709","2025-02-03 13:57:42","2025-02-12 14:53:54","2025-01-27","Bateu um carro no poste onde o mesmo precisa ser trocado
Rua Presidente Kennedy","Concluído","Iluminação","WhatsApp","Principal","Secretaria de Obras"
"40209","206710","2025-02-03 14:07:51","2025-04-24 09:47:45","2025-01-14","- ABITS - Certidão INSS
Imóvel desde 2003
- Asfalto na Rua Jório Cavalcante, divisa da Rua Manoel Bandeira
Disfarçar a rua com asfalto na subida","em analise","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"40210","206711","2025-02-03 14:10:17","2025-04-04 11:06:05","2025-01-19","Buracos na Rua São José nº 33
Asfalto","Concluído","Asfalto","WhatsApp","Principal","Secretaria de Obras"
"40212","206713","2025-02-03 14:27:13","2025-02-03 14:27:13","2025-01-27","Solicitando Cesta Básica
Paciente está com problemas de saúde, esperando INSS
Visita Solicitada

Rua Eduardo Braga Filho, nº 90","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40213","206714","2025-02-03 14:33:26","2025-02-03 14:33:26","2025-01-29","Solicitação cesta básica, Ana Paula coordenadora CRAS Santa Terezinha, ficou de realizar a visita.","Concluído","Outros","WhatsApp","Principal","Secretaria de Saúde"
"40214","206716","2025-02-03 15:02:12","2025-04-24 09:46:06","2025-01-27","- Escorpiões no campo de terra, a onde colocou o parquinho
- Capina no bairro (Demsur) Eder
- Concretagem em volta do parquinho ( Maurício Soares)
- Olhar as ruas com falta de meio fio, causando enxurrada","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Obras"
"40216","206717","2025-02-03 15:06:52","2025-04-04 11:29:52","2025-01-28","_Fazer uma indicação ao demutran a possibilidade da area azul rotativo,Descontar o crédito que a pessoa tiver no rotativo facilitando assim o pagamento da tarifa.","aguardando execuçao","Outros","WhatsApp","Principal","Secretaria de Trânsito"
