"Data inicio","Data fim","Assunto","Descrição","Local","Nome solicitante","Telefone solicitante"
"2025-05-22 17:00:00","2025-05-22 18:00:00","Reunião de pais Silveira Brum","Reclamação de pais","E.E Silveira Brum",NULL,NULL
"2025-05-27 14:00:00","2025-05-27 15:00:00","Escola CAIC",NULL,"Secretaria de educação",NULL,NULL
"2025-05-27 18:30:00","2025-05-27 20:00:00","50 anos APAE",NULL,"APAE",NULL,NULL
"2025-05-30 09:00:00","2025-05-30 10:30:00","Prestação de contas",NULL,"Câmara",NULL,NULL
"2025-06-07 15:00:00","2025-06-07 18:00:00","Festa junina Valdivino",NULL,"Valdivino",NULL,NULL
"2025-06-03 11:00:00","2025-06-03 12:00:00","RADIO MURIAE",NULL,"RADIO MURIAE",NULL,NULL
"2025-06-03 17:00:00","2025-06-03 18:00:00","ORATORIA PAMELA",NULL,"PAMELA",NULL,NULL
"2025-06-03 19:00:00","2025-06-03 19:30:00","EXPOSIÇÃO ECOLOGICA",NULL,"TEATRO ZACARIAS MARQUES",NULL,NULL
"2025-06-03 13:00:00","2025-06-03 14:00:00","VISITA ESCOLA PORTO",NULL,"ESCOLA PORTO",NULL,NULL
"2025-06-04 08:00:00","2025-06-04 10:00:00","REUNIÃO BRUNO HSP",NULL,"HSP",NULL,NULL
"2025-06-04 10:00:00","2025-06-04 12:00:00","REUNIÃO DR GENIR E COLETIVO",NULL,"DEMUTRAN",NULL,NULL
"2025-06-04 16:00:00","2025-06-04 17:00:00","SALÃO CABELO",NULL,NULL,NULL,NULL
"2025-06-04 19:00:00","2025-06-04 21:00:00","ORDEM DO MERITO CHICO MENDES",NULL,"FAMINAS",NULL,NULL
"2025-06-05 08:00:00","2025-06-05 09:00:00","ABRAÇO DO HORTO",NULL,"HORTO FLORESTAL",NULL,NULL
"2025-06-05 19:00:00","2025-06-05 21:00:00","ABERTURA GASTRONOMIA NA SERRA",NULL,"PIRAPANEMA",NULL,NULL
"2025-06-07 09:00:00","2025-06-07 10:00:00","FESTA JUNINA E M PROFESSORA STELLA FIDELIS",NULL,"E M PROFESSORA STELLA FIDELIS",NULL,NULL
"2025-06-13 18:00:00","2025-06-13 19:00:00","FESTA JUNINA PLANALTO",NULL,"PLANALTO",NULL,NULL
"2025-06-27 19:00:00","2025-06-27 20:00:00","ARRAIA DO LAR OZANAN",NULL,"PLANALTO",NULL,NULL
"2025-06-02 09:30:00","2025-06-02 10:30:00","REUNIÃO CHICÃO E MARCELO",NULL,"CAMARA",NULL,NULL
"2025-06-02 14:00:00","2025-06-02 15:00:00","REGINALDO LOPES ONLINE",NULL,"ZOOM",NULL,NULL
"2025-06-02 18:30:00","2025-06-02 21:00:00","REUNIÃO ORDINARIA",NULL,"CAMARA",NULL,NULL
"2025-06-05 14:00:00","2025-06-05 17:00:00","REUNIÃO NOVOS VEREADORES",NULL,"MURIAE",NULL,NULL
"2025-06-25 19:00:00","2025-06-25 20:00:00","ABERTURA EXPO MURIAE",NULL,NULL,NULL,NULL
"2025-06-11 12:00:00","2025-06-11 17:00:00","SIMPOSIO DA SAUDE DA MULHER",NULL,"TEATRO ZACARIAS MARQUES",NULL,NULL
"2025-06-06 08:00:00","2025-06-06 09:00:00","AULA DE TRANSITO - PERTO DA UPA",NULL,"UPA MURIAE",NULL,NULL
"2025-06-11 08:00:00","2025-06-11 09:00:00","Reunião Drº Genir e Michel","Reunião Drº Genir e MIchel no Demutran","Demutran",NULL,NULL
